,source,ra,dec,flux (Jy),weighted flux (Jy),percent flux
0,J054236+495107,85.65063 deg,49.85214 deg,22.8796,20.423001770726657,0.9434399723396365
1,J144343+503431,220.93008 deg,50.57547 deg,1.2096,9.964131435522694,0.9490731440595349
2,J141120+521209,212.83596 deg,52.2025 deg,22.7201,9.964131435522694,0.9490731440595349
3,J004308+520334,10.78663 deg,52.05956 deg,11.534,5.815283954465235,0.7128696232681405
4,J005057+511201,12.73762 deg,51.20047 deg,1.3028,5.815283954465235,0.7128696232681405
5,J182931+484446,277.3825 deg,48.74631 deg,13.7525,5.715976021128907,0.9688600244681831
6,J210822+493637,317.09342 deg,49.61039 deg,2.4074,5.064093380924672,0.7428609946941963
7,J203837+511913,309.65421 deg,51.32031 deg,6.0808,5.064093380924672,0.7428609946941963
11,J033743+504552,54.43088 deg,50.76458 deg,3.335,3.27281242928284,0.7677373126656206
12,J211852+493658,319.71908 deg,49.61633 deg,3.3938,2.7434107465604165,0.4996388052440239
13,J134526+494632,206.35992 deg,49.77575 deg,2.3983000000000003,2.080348111945886,0.8629305038309862
14,J235509+495008,358.78963 deg,49.83569 deg,2.3059000000000003,2.046228126300791,0.5376820503401224
15,J051932+505432,79.88513 deg,50.909 deg,2.0683000000000002,1.9771714448086761,0.6073305328177008
16,J194146+503548,295.44187 deg,50.59678 deg,1.8811,1.8763735465394489,0.568525746081642
17,J213701+510136,324.25446 deg,51.02675 deg,1.6859000000000002,1.56425424635892,0.5737878381526551
18,J103417+501330,158.57442 deg,50.22506 deg,1.5452000000000001,1.514106291093945,0.613282334601451
19,J114543+494608,176.43087 deg,49.769 deg,1.4245,1.514106291093945,0.613282334601451
20,J082236+511229,125.65375 deg,51.20808 deg,1.2559,1.427127272354456,0.5174512526157993
21,J080135+500943,120.39717 deg,50.16194 deg,1.4717,1.427127272354456,0.5174512526157993
